station,lat,lon,dyear,dtemp
724567-13921,39.367,-94.917,11,0.4585262081972701
725196-14717,43.234,-75.407,26,-0.6210611672278645
727735-24139,46.638,-113.176,5,-0.9381925813650298
747900-13849,33.967,-80.467,39,-0.7333333333333201
722526-12947,28.457,-99.218,13,1.205625605237671
727680-94008,48.214,-106.621,43,-0.02155555555556532
722170-03813,32.685,-83.653,44,0.023041719880779965
702615-99999,64.833,-147.617,19,-0.29792669823464735
745940-13705,38.817,-76.867,38,0.3550000000000324
992090-99999,48.0,-87.6,1,-0.11477777777778186
726797-24132,45.788,-111.161,13,0.14294444444445276
703610-25339,59.512,-139.671,45,1.0075555555555624
999999-14936,44.398,-98.223,3,0.08588888888887425
724580-13984,39.551,-97.651,13,0.31383333333332075
744915-14775,42.158,-72.716,9,-0.29885455349248957
726440-14925,43.904,-92.492,13,0.22400000000000375
724140-13866,38.379,-81.59,13,0.20433333333333792
722535-12909,29.383,-98.583,42,-0.16133333333333155
725540-14949,41.117,-95.917,32,0.3038228438228572
724510-13985,37.769,-99.968,43,1.0793888888889143
725115-14711,40.196,-76.772,46,0.722746700723718
724105-99999,38.267,-78.9,3,0.1666283524904344
722630-23034,31.352,-100.495,38,2.8505511803011245
722866-23122,34.083,-117.233,19,1.4856858237547783
723525-93986,34.989,-99.053,13,1.105665571975905
722200-12832,29.733,-85.033,30,0.24143209876542926
747950-12867,28.233,-80.6,36,0.621055555555543
722160-13869,31.536,-84.194,9,0.8197222222222393
722656-23040,31.78,-103.202,39,2.6929808429118367
727455-94931,47.386,-92.839,13,0.06509386973181108
726555-99999,46.4,-94.133,3,-0.023444444444407964
724556-13989,38.329,-96.195,9,-0.2237222222222215
742070-24201,47.083,-122.583,37,-0.1901532567049884
745160-23202,38.267,-121.933,37,2.02788888888891
725750-24126,41.196,-112.011,9,0.24565818281335794
727935-24234,47.53,-122.301,38,-0.40911111111108767
703410-25507,59.642,-151.491,13,0.40472222222221177
722110-12842,27.962,-82.54,44,-0.001388888888868678
725635-99999,42.05,-102.8,33,0.5065555555555363
704540-25704,51.883,-176.65,38,0.4054657784744151
992240-99999,41.7,-82.4,2,-0.4007777777777619
722785-23111,33.55,-112.367,38,2.404226495726533
725480-94910,42.554,-92.401,26,0.6576111111111231
724127-99999,37.858,-80.399,3,-0.4255555555555617
746710-13806,36.667,-87.483,37,0.0934444444444722
727970-94240,47.938,-124.555,13,-0.26161111111112234
724680-94015,38.678,-104.757,13,1.3094545787545968
743945-14710,42.933,-71.438,6,-1.0726111111110868
725197-94794,43.145,-75.384,4,-0.19977777777779693
725866-99999,42.483,-114.483,3,0.03777777777779079
726917-24284,43.413,-124.244,5,-0.14677777777774992
702310-26510,62.957,-155.61,13,1.8404616858237546
702590-26523,60.58,-151.239,13,1.1712222222222266
724520-03957,37.284,-98.553,6,2.744277777777782
727535-14919,46.926,-98.669,13,-1.026833333333343
722267-03878,31.861,-86.012,9,0.6088907875750209
726500-99999,43.167,-95.15,3,-0.14133333333334974
722445-03904,30.589,-96.365,8,0.5779126984127032
723870-03160,36.621,-116.028,8,0.6325344827586434
722316-12958,29.817,-90.017,13,-0.44486726874657734
723627-23081,35.514,-108.794,13,0.8067011494252796
724490-13993,39.774,-94.923,9,-0.41052107279691086
