station,lat,lon,dyear,dtemp
722520-12920,27.55,-99.467,2,0.2381111111111096
727550-99999,47.5,-94.933,3,-0.35419658119654684
911905-99999,20.783,-156.95,2,0.22831417624522032
725185-14750,43.35,-73.617,8,-0.19522222222218488
724460-03947,39.297,-94.731,13,0.20566666666664446
726586-99999,43.65,-94.417,3,0.10154406130263283
724336-99999,37.767,-89.25,3,-0.04946743295018052
702910-26412,62.962,-141.938,41,1.9132222222222026
722045-12843,27.653,-80.243,8,0.05033333333334156
722730-03124,31.588,-110.344,25,1.8684736459368736
726545-99999,43.775,-98.039,3,-0.15800000000000125
725895-94236,42.147,-121.724,22,-0.17705555555555463
703330-99999,56.95,-158.617,33,0.47082897944968494
725865-99999,43.5,-114.3,1,-0.08547826086957855
724236-03889,37.591,-83.314,8,0.2351111111111095
992040-99999,25.9,-89.7,4,-0.027444444444455485
723200-93801,34.348,-85.161,4,0.005957854406119623
722287-13871,33.587,-85.856,13,-0.45975478927203994
725126-14736,40.296,-78.32,13,-0.002888888888890051
722266-13850,32.35,-86.983,5,-0.6461111111111393
747686-13820,30.417,-88.917,39,0.4752777777778192
724086-14793,40.2,-75.15,8,-0.06799999999999784
724275-14894,40.176,-80.647,8,-0.23188888888887504
722435-12918,29.638,-95.282,8,0.4593333333333618
723530-13967,35.389,-97.601,44,1.125498084291209
723565-99999,36.767,-96.017,3,0.12047892720308084
722500-12919,25.914,-97.423,39,2.9514444444444194
722906-93112,32.7,-117.2,41,1.8882241379310187
722555-12935,28.725,-96.254,37,0.7752394636014941
725127-04726,40.316,-78.834,9,-0.415386973180091
725066-99999,41.4,-70.617,3,0.15797619047620515
725670-24032,42.878,-100.55,38,0.33466666666666356
723145-03810,35.743,-81.382,8,0.6117777777777889
724660-93037,38.81,-104.688,43,1.6556666666666615
725775-04111,41.273,-111.031,8,-0.15254938271607443
992710-99999,25.9,-93.6,5,0.035172839506174114
722515-12926,27.683,-97.283,13,-0.34292307692309976
726355-99999,42.133,-86.433,3,0.11655555555556418
723407-99999,35.833,-90.633,3,0.031111111111115974
726145-94705,44.204,-72.562,13,-0.7827285353535416
701730-99999,66.0,-153.7,22,-0.5034070130706425
725975-24235,42.6,-123.364,13,0.004975095785439976
722480-13957,32.447,-93.824,13,0.9861666666666764
722596-13961,32.819,-97.361,34,-0.11421319102350935
726770-24033,45.807,-108.542,50,-0.25816666666666777
724945-23293,37.359,-121.924,13,-1.0874444444444435
722510-12924,27.774,-97.512,39,2.2538333333333043
722925-93117,33.023,-118.588,39,1.4837250865539033
727920-24227,46.973,-122.903,13,-0.25506321839078794
723415-99999,34.467,-93.083,3,0.1466666666666896
702350-99999,61.1,-155.567,22,0.6823710086960659
726835-24230,44.256,-121.139,39,0.7084444444444955
724290-93815,39.906,-84.219,13,-0.27672222222221876
723080-13737,36.903,-76.192,13,0.4529999999999319
725180-14735,42.743,-73.809,40,0.3064444444444234
725190-14771,43.111,-76.104,43,0.8260555555555271
723910-93111,34.117,-119.117,13,-0.4542698412698343
724070-93730,39.449,-74.567,39,2.290722222222243
723440-13964,35.333,-94.363,39,0.9159444444444205
702510-26528,62.32,-150.095,13,1.0510325670498162
702320-26516,61.583,-159.533,8,0.6517594417077248
724115-99999,37.95,-79.833,1,0.01988888888890017
724837-93216,39.133,-121.433,20,-1.2376302294196506
724037-93728,38.717,-77.183,23,1.7570707070706817
724210-93814,39.043,-84.672,13,0.16866666666668095
723925-23190,34.426,-119.843,13,-0.6079444444444562
723125-93846,34.498,-82.71,8,0.14938271604940212
727437-99999,45.817,-88.117,3,0.42499999999998295
722026-12826,25.483,-80.383,38,1.6571666666666687
725068-99999,41.867,-71.017,7,0.23299999999998988
724956-23211,38.067,-122.5,6,0.11691954022991524
726050-14745,43.195,-71.501,13,-0.6515153256704878
723120-03870,34.884,-82.221,13,0.9088888888888818
725316-99999,39.833,-88.867,3,-0.033888888888910174
722269-03850,31.267,-85.717,26,0.7750000000000057
722880-23152,34.201,-118.358,39,-0.9707777777777977
723965-93209,35.67,-120.628,37,1.1240530382956564
727850-24157,47.622,-117.528,44,0.7793888888889029
724550-13947,39.05,-96.767,39,0.991467169754273
725140-14778,41.243,-76.922,13,0.9435555555555339
722356-13939,33.483,-90.985,35,0.31900218938152136
723060-13722,35.892,-78.782,40,3.411944444444444
723495-13987,37.147,-94.502,13,0.4468333333333163
727926-99999,46.483,-122.8,3,0.15354819127230712
723265-03847,35.951,-85.081,8,0.11057971014496104
722810-23199,32.817,-115.683,2,-0.021031746031724197
726546-14946,44.905,-97.149,38,-0.7045555555555723
703080-25713,57.155,-170.222,42,3.320934865900405
723119-13886,34.846,-82.346,17,-0.5586666666666815
722358-93919,31.183,-90.471,13,0.04517432950190425
723805-23179,34.768,-114.619,9,1.0328700054734696
740030-99999,40.167,-112.933,12,0.06171969696968915
724340-13994,38.753,-90.374,13,0.4587222222222067
725045-14758,41.264,-72.887,8,0.00753065134101405
722025-12849,26.072,-80.154,8,0.38677777777778033
724756-23159,37.706,-112.146,9,0.43168394770866314
725660-24028,41.871,-103.593,43,0.9866111111111167
722115-99999,27.383,-82.55,2,0.07411111111110813
723230-03856,34.644,-86.786,13,1.3795555555555552
690190-13910,32.433,-99.85,18,0.5676111111111055
702220-99999,64.733,-156.933,33,0.4061915708812336
726060-14764,43.65,-70.3,13,-0.4866781609195385
724380-93819,39.732,-86.279,43,-0.35449999999997317
726904-24231,43.239,-123.355,2,0.2056481481481427
722137-13878,31.152,-81.391,13,-0.360666666666674
724089-13781,39.673,-75.601,38,0.15444444444447925
725570-14943,42.391,-96.379,43,0.7898333333333625
724800-23157,37.371,-118.358,13,1.0734865900383284
722085-93831,32.483,-80.717,41,1.3852972295903072
725080-14740,41.938,-72.683,44,-0.30155555555556646
723067-93726,35.317,-77.633,8,0.5255370370370684
722359-13978,33.496,-90.087,38,-0.055222222222198525
747540-13934,31.317,-92.55,24,-0.5951111111111516
702120-26633,61.783,-166.033,17,-0.07036355056921906
702735-26409,61.217,-149.855,37,1.4679841269841205
722060-13889,30.495,-81.694,38,0.06455555555554326
726556-99999,44.55,-95.083,2,0.12411111111113371
724885-93102,39.417,-118.717,13,0.48086507936505996
724240-13807,37.9,-85.967,36,-1.0146543209876597
747915-93718,33.812,-78.724,9,0.4295555555555808
724320-93817,38.044,-87.521,13,-0.5105555555555839
723075-13769,36.817,-76.033,13,0.46644444444442
725360-94830,41.589,-83.801,13,0.5816666666666777
726130-99999,44.267,-71.3,3,-0.03277777777775981
723085-13750,36.95,-76.283,13,0.7146825396825278
725210-14895,40.917,-81.433,13,0.3778333333333421
727856-99999,47.683,-117.317,3,0.03333333333334565
722090-99999,31.883,-81.567,9,0.5573193210298797
722066-03853,30.4,-81.417,13,0.26241324529028986
727826-24141,47.308,-119.515,39,-0.03745977011496393
724855-23153,38.051,-117.09,43,1.1266666666666652
747770-03852,30.417,-86.683,25,0.7123888888888814
702730-26451,61.169,-150.028,13,0.5854444444444482
724035-13773,38.5,-77.3,13,0.14768922305762544
722215-13884,30.78,-86.523,13,0.9250643972885229
725035-04781,40.794,-73.102,8,0.26300000000000523
727130-14604,46.683,-68.05,40,0.12409220481335126
724338-13802,38.55,-89.85,43,0.009999999999976694
724386-14835,40.412,-86.937,13,-0.8076199294532955
722886-23130,34.21,-118.489,38,0.533055555555535
747020-23110,36.333,-119.95,24,-0.44364285714290475
725636-24017,42.837,-103.098,9,-0.5824444444444339
723090-13754,34.9,-76.883,13,0.3602988505747078
726510-14944,43.578,-96.754,43,0.040444444444460714
726886-24130,44.843,-117.809,13,-1.0664444444444428
722576-03902,31.067,-97.833,30,1.1054230769230742
724106-13728,36.573,-79.336,9,0.6363333333333117
722687-93033,32.334,-104.258,43,2.4266481481481748
722175-13860,32.633,-83.6,38,0.4046111111110804
744900-14702,42.47,-71.289,7,-0.3303333333333569
702720-99999,61.25,-149.8,35,1.095555555555542
723527-13975,36.297,-99.769,34,-0.9660383141762452
722710-93045,33.237,-107.268,4,0.34950000000000614
747185-99999,32.834,-115.579,3,-0.0945555555555444
725465-14950,41.108,-92.447,13,-1.0520000000000067
722225-03855,30.35,-87.317,41,-0.06302329988854183
722106-12835,26.585,-81.861,43,-0.1652222222222406
725205-14762,40.355,-79.922,9,-0.009999999999976694
725440-14923,41.465,-90.523,13,0.057055555555550086
722265-13821,32.383,-86.35,45,-0.13905555555554372
725310-14806,40.3,-88.15,4,0.10144444444442513
725095-94746,42.271,-71.873,8,0.3667241379310582
703810-25309,58.357,-134.564,13,0.9071781609195355
723740-23194,35.028,-110.721,13,1.3692539682539717
726380-94814,44.359,-84.674,13,0.870111111111143
723340-13893,35.056,-89.987,13,0.30277777777780557
724586-03919,38.8,-97.65,13,0.5410862068965372
723510-13966,33.979,-98.493,44,0.40233333333335963
727470-14918,48.561,-93.398,13,-0.13811111111108687
726525-99999,42.917,-97.383,3,-0.21466666666667322
703160-25624,55.221,-162.733,44,1.113666666666667
726165-99999,42.9,-72.267,1,0.013599999999996726
724280-14821,39.991,-82.881,41,0.4504999999999484
727910-94224,46.157,-123.883,13,0.14766666666665174
726436-94930,43.933,-90.267,18,-0.015437335971839161
725370-94847,42.231,-83.331,43,0.39194444444443377
725500-14942,41.31,-95.899,12,0.11966666666667436
726370-14826,42.967,-83.749,13,0.9496111111110537
726550-14926,45.543,-94.051,13,0.16472222222220978
722970-23129,33.812,-118.146,43,3.484111111111119
722015-12850,24.583,-81.683,13,0.3591743295018972
725430-94822,42.193,-89.093,13,0.36127777777778647
702550-26514,61.977,-151.217,7,0.5594010357458501
726798-24150,45.698,-110.441,13,0.2517777777777894
724760-23066,39.134,-108.54,13,0.5786666666666491
744865-14719,40.844,-72.632,38,0.5558174603174564
992140-99999,42.7,-87.1,2,-0.4574444444444481
722065-93837,30.233,-81.667,13,0.22188888888886993
722909-93115,32.567,-117.117,13,-0.7407453175177494
744910-14703,42.2,-72.533,40,-0.6802969348658934
722056-12834,29.183,-81.048,8,0.250084291187747
725640-24018,41.15,-104.817,38,3.196383141762439
727855-24114,47.633,-117.65,41,-1.0561111111111074
722950-23174,33.938,-118.389,42,-0.971222222222238
701330-26616,66.867,-162.633,13,1.8179206349206183
725030-14732,40.779,-73.88,13,0.6435000000000173
727796-24137,48.603,-112.375,38,0.2255823754789219
726587-99999,43.65,-95.583,3,-0.21011904761905953
725645-24022,41.317,-105.683,13,0.30188888888888243
725625-99999,40.2,-100.583,3,-0.17722222222221262
727340-14847,46.479,-84.357,13,-0.0226111111110896
724020-93739,37.937,-75.471,2,-0.025936507936492603
722580-13960,32.852,-96.856,13,0.5951666666666853
724926-23258,37.624,-120.951,13,0.29722222222220296
725246-14891,40.82,-82.518,32,0.3026666666666813
724467-13930,38.717,-93.55,38,0.886055555555501
726227-94790,43.992,-76.022,37,0.2617222222222182
722135-13870,31.536,-82.507,8,0.36381481481480193
724235-13810,38.228,-85.664,40,0.08516666666668016
724050-13743,38.848,-77.034,49,1.3775252525252455
727790-24146,48.304,-114.264,13,-0.6491666666667157
727827-24110,47.208,-119.319,39,1.84448436084989
703050-99999,58.65,-162.067,22,3.3838534391321815
722865-93180,34.067,-117.65,9,0.6277777777777658
725940-99999,40.8,-124.167,27,0.3379403961577978
725320-14842,40.668,-89.684,13,0.09483333333334087
747320-99999,32.85,-106.1,33,0.34663354989173456
725805-24172,40.068,-118.569,5,0.2238409961685761
723445-93993,36.01,-94.169,9,0.20677777777778772
724297-93812,39.103,-84.419,13,-0.48783333333334156
724507-13981,37.67,-95.484,13,0.20777777777777828
747804-99999,32.009,-81.146,31,0.6253350427350597
